month_date,month,listing_count,host_count,avg_daily_rate_mean,occupancy_mean,revenue_mean,revpar_mean,star_rating_mean
2021-03-01,2021-03,573,515,147.99354275741712,0.5479301919720768,2491.3141361256544,80.36497213308562,4.701319587628865
2021-04-01,2021-04,573,515,150.61780104712042,0.5631186736474695,2524.7643979057593,84.1588132635253,4.701319587628865
2021-05-01,2021-05,573,515,155.47469458987783,0.5590191972076789,2673.455497382199,86.2404999155548,4.701319587628865
2021-06-01,2021-06,573,515,160.58237347294937,0.5883769633507853,2818.2094240837696,93.94031413612565,4.701319587628865
2021-07-01,2021-07,573,515,161.8724258289703,0.6126788830715533,3096.155322862129,99.87597815684288,4.701319587628865
2021-08-01,2021-08,573,515,165.0951134380454,0.6139109947643979,3131.542757417103,101.01750830377752,4.701319587628865
2021-09-01,2021-09,573,515,164.81308900523558,0.6155916230366492,3049.2739965095984,101.64246655031995,4.701319587628865
2021-10-01,2021-10,573,515,167.57609075043632,0.5803682373472949,2964.4694589877836,95.62804706412206,4.701319587628865
2021-11-01,2021-11,573,515,166.7867364746946,0.5670244328097731,2670.413612565445,89.01378708551483,4.701319587628865
2021-12-01,2021-12,573,515,176.46387434554975,0.5272547993019198,2947.1832460732985,95.07042729268706,4.701319587628865
2022-01-01,2022-01,573,515,161.74659685863875,0.39148516579406634,1978.87260034904,63.83460001125936,4.701319587628865
2022-02-01,2022-02,573,515,160.18411867364748,0.40748865619546243,1771.7260034904014,63.27592869608577,4.701319587628865
2022-03-01,2022-03,573,515,163.93664921465967,0.48786561954624785,2504.0331588132635,80.77526318752463,4.701319587628865
2022-04-01,2022-04,573,515,172.3673647469459,0.5680191972076789,3043.82722513089,101.46090750436299,4.701319587628865
2022-05-01,2022-05,493,441,193.66876267748478,0.5348356997971602,3409.4908722109535,109.98357652293399,4.7059999999999995
2022-06-01,2022-06,756,675,198.2345238095238,0.6494232804232805,3908.5,130.28333333333333,4.70489666136725
2022-07-01,2022-07,756,675,200.3716931216931,0.6105886243386244,3771.8915343915346,121.67392046424304,4.70489666136725
2022-08-01,2022-08,756,675,189.87817460317459,0.5868611111111111,3398.925925925926,109.64277180406214,4.70489666136725
2022-09-01,2022-09,756,675,200.56719576719576,0.604010582010582,3611.5079365079364,120.38359788359789,4.70489666136725
2022-10-01,2022-10,756,675,200.25939153439154,0.5688055555555556,3492.5436507936506,112.66269841269842,4.70489666136725
2022-11-01,2022-11,756,675,199.26402116402116,0.48584920634920636,2844.962962962963,94.8320987654321,4.70489666136725
2022-12-01,2022-12,756,675,202.25238095238095,0.48069973544973543,3134.6203703703704,101.1167861409797,4.70489666136725
2023-01-01,2023-01,756,675,187.15806878306879,0.30881349206349207,1573.3544973544974,50.75337088240314,4.70489666136725
2023-02-01,2023-02,756,675,180.26838624338623,0.2893505291005291,1195.4642857142858,42.69515306122449,4.70489666136725
